target_phrase	idiomatic_meaning	literal_meaning	contextual_considerations	verbose_explanation	result
elbow grease	Hard physical work, especially when using your hands.	A form of grease made to be applied to the elbow.	The context sentence refers to a woman taking care of her skin after physically exerting her arms, but the phrase 'elbow grease' seems to be used literally as an application to her skin, rather than figuratively to denote hard work.	In this sentence, 'elbow grease' appears to mean some kind of ointment, cream, or balm that the woman is applying to her dry and cracked skin. It does not seem to imply hard work, which is the usual idiomatic sense of 'elbow grease'.	literal
night owl	A person who prefers to be awake and active during the night.	An owl that is active at night.	In the sentence, the term 'night owl' is used in the context of a photographer trying to capture a shot of an elusive animal.	In this context, 'night owl' is used in its literal sense to refer to an owl that is active at night. The photographer is staying up late, not because he is a night-oriented person, but to take a picture of an actual, physical owl.	literal
heart of gold	A very kind, generous and altruistic nature or character.	A heart that is made of gold.	In this sentence, 'heart of gold' is being used to describe an item inside a museum. It doesn't describe a person's character, which is what the idiomatic usage would require.	In this context, the 'heart of gold' literally refers to a priceless object, likely a crafted artifact, that's made of gold and shaped like a heart. It takes the shape of a heart, but it's not providing any comment on a link between gold and a person's character traits.	literal
agony aunt	A person, typically woman, who writes a regular column in a newspaper or magazine where she solves the personal problems of others.	A woman who is massively suffering or in distress, traditionally an aunt.	The sentence portrays the 'agony aunt' in an eerie setting, collecting pain and suffering. It doesn't fit the typical portrait of a journalistic advice column, which suggests an unconventional use.	In the mentioned context, 'agony aunt' is perhaps a metaphorical or possibly literal character who gains from the suffering of trapped souls, rather than a columnist giving advice. It draws on elements of the phrase's literal elements, and provides a hint of the more traditional interpretation in the form of taken on burdens and suffering.	literal
shrinking violet	A person who is shy, modest, and avoids the limelight. They may have a lack of confidence or be introverted.	A violet flower that is actively becoming smaller.	The context sentence refers to an actual shrinking violet in a garden that seems to be suffering from insufficient sunlight.	In this context, 'shrinking violet' literally means a violet flower that's withering or becoming smaller, likely due to a lack of sunlight. It's not suggesting anything about human introverted behavior, the usual idiomatic interpretation of 'shrinking violet'.	literal
green fingers	The talent of being good at gardening and making plants grow well.	Fingers that are colored green.	The phrase is being used in a sentence about children participating in gardening activities at their school, which suggests an idiomatic interpretation.	When saying the children 'have green fingers,' it's meant to say they are gifted at gardening and with dealing with plants. The sentence doesn't suggest they literally have fingers that are green in color.	idiomatic
ancient history	Something that happened a long time ago and is no longer important, relevant, or worth discussing.	The history of ancient times.	In the sentence, 'ancient history' is used to refer to a previous relationship, which fits the idiomatic usage more than the literal definition.	In this context, 'ancient history' is used metaphorically to denote something that happened long ago (her relationship with Paul), which is no longer affecting the present or important to current situations. It does not involve the actual study of past civilizations.	idiomatic
banana republic	A small nation, especially in Central America, that is politically unstable, dependent on limited agriculture (such as bananas), and ruled by a small, self-elected, wealthy, and corrupt clique.	A republic or political entity where bananas are a key aspect or commodity.	Here, the phrase 'banana republic' is used in the context of a 'fruit kingdom' – an apparent game or imaginative concept – which has unique development possibilities.	In this context, 'banana republic' is being used literally to describe a potential stage of a 'fruit kingdom,' where the main product is bananas. It does not appear to contain any implications around political instability or corruption, traits of the usual idiomatic usage.	literal
devil's advocate	A person who expresses a contentious opinion in order to provoke debate or test the strength of the opposing arguments.	A person who advocates or speaks on behalf of the devil.	When looking at the wider context, 'devil's advocate' is used to express checking the robustness and solidness of story ideas in content creation.	In this context, the phrase 'devil's advocate' is being used idiomatically to mean someone who critically examines ideas to ensure they are sound, challenging them in order increase their strength and depth.	idiomatic
private eye	A private detective.	An eye that is kept private and hidden from others.	The sentence talks about an actor who hides his physical eyes from the public using contacts, quite literally his 'private eye'. There's no mention of investigating or detective work.	In this sentence, 'private eye' mentions the actor's decision to always wear contact lenses in order to prevent the public from seeing his actual, physical eyes, a literal interpretation. This usage has nothing to do with the idiomatic sense of the term, which refers to a private investigator.	literal
