target_phrase	idiomatic_meaning	literal_meaning	contextual_considerations	verbose_explanation	result
elbow grease	Hard physical effort, especially in reference to scrubbing or cleaning something.	A substance or lotion applied to the elbow area.	In the sentence, 'After a long day supporting herself with her arms, she applied some elbow grease to soothe her dry, cracked skin.' the phrase 'elbow grease' is clearly not referring to hard work or effort, but potentially to some kind of substance applied on the elbow.	The phrase 'elbow grease' is likely being used to describe a lotion or cream applied to the elbow area to moisturize and soothe dry skin. The context does not suggest strenuous physical work or effort, hence it should be the literal interpretation.	literal
night owl	A person who is habitually active or wakeful at night.	A type of owl that is active at night.	The sentence 'The photographer stayed up until midnight to capture a perfect shot of the elusive night owl.' suggests that the target is an actual owl.	In this context, 'night owl' is an owl that is active during the night. This interpretation is supported by the photographer trying to photograph it, indicating that it is a literal owl, not a metaphor for a person who stays up late.	literal
heart of gold	Being kind, generous, or sympathetic.	A heart made of gold.	In the sentence, 'Among the museum's rarest items they found a priceless heart of gold, gleaming under the soft lights.' the use of the phrase 'heart of gold' seems to be in a literal sense.	Here, 'heart of gold' is likely referring to an actual object that is made of gold and shaped like a heart. The context does not suggest a kind or generous person or any metaphorical sense of the phrase.	literal
agony aunt	A person, typically a woman, who offers advice to people in distress, especially in a regular magazine or newspaper column.	An aunt who is in agony or causes agony.	The sentence, 'The agony aunt crawls the ruins of the city with her nieces, harvesting the pain and suffering of the souls trapped there.' is clearly not referring to an advice columnist, but has a more literal or perhaps metaphorical meaning.	In this sentence, 'agony aunt' might refer to a literally agonizing figure, potentially a supernatural or symbolic entity, that the nieces accompany through the city. This interpretation is suggested by the mention of 'harvesting the pain and suffering of the trapped souls'.	literal
shrinking violet	A shy or modest person who does not seek attention.	A violet flower that is shrinking or becoming smaller.	In the phrase, 'In her garden, she noticed a shrinking violet that seemed to be suffering from the lack of sunlight.' the phrase 'shrinking violet' likely refers to an actual violet flower that is becoming smaller or withering.	The phrase 'shrinking violet' in this case is used to describe a literal violet plant in someone's garden that appears to be suffering or shrinking due to lack of sunlight. This usage is not referring to a shy or modest person, as suggested by the idiomatic sense of the phrase.	literal
green fingers	A talent for gardening; the ability to help plants grow.	Fingers that are colored green.	In the sentence, 'The children already have green fingers as they help out with their school's vegetable plot and enthusiastically responded to questions.' the phrase 'green fingers' is likely referring to the children's talent or inclination towards gardening.	The phrase 'green fingers' is used to describe the children's talent or ability in gardening, as suggested by their active role in their school's vegetable plot. It does not seem to suggest that the children's fingers are literally green in color.	idiomatic
ancient history	Something that happened a long time ago and is no longer relevant or important.	The study of the distant past, especially the period in history before the fall of the Western Roman Empire.	In the sentence, 'Lyn says that her relationship with Paul is ancient history, but Steph thinks that she should go and see him to give him a chance to apologise.' the phrase 'ancient history' is used idiomatically to denote something that has happened long ago and is deemed no longer relevant.	In this context, 'ancient history' is used to refer to Lyn's past relationship with Paul which she considers to be in the distant past and irrelevant to her current life. This usage does not refer to the literal meaning associated with the study of history.	idiomatic
banana republic	A small, typically tropical country that is politically unstable and whose economy is dominated by foreign companies and dependent on one export (such as bananas).	A republic that produces or is associated with bananas.	In the sentence, 'Your fruit kingdom can become an apple empire, banana republic or strawberry theocracy, with unique development options for each.' the term 'banana republic' likely refers to a socio-political model of a fruit kingdom focused on banana production.	Here, 'banana republic' is metaphorically employed to signify a specific type of fruit kingdom that is, assumingly, heavily dependent on banana production. This does not strongly align with the idiomatic meaning of a politically unstable country exploited by foreign companies, but rather with a literal interpretation of a republic associated with bananas.	literal
devil's advocate	A person who expresses a contentious opinion in order to provoke debate or test the strength of the opposing arguments.	An advocate or representative of the devil.	"In the sentence, 'I do advise them on ideas for content, she said, ""and play devil's advocate to make sure that their story ideas are solid and they have a plan for a good angle and reporting.""' the phrase 'devil's advocate' is used in its common idiomatic sense."	In this context, 'devil's advocate' is a Conceptual role the speaker takes on to challenge ideas and assumptions, thus ensuring robust examination of story ideas. The meaning aligns with the idiomatic usage and doesn't suggest any literal or supernatural connotation.	idiomatic
private eye	A private detective.	An eye that is not readily observable by the public.	The sentence, 'The actor insists on wearing contacts at all times to keep his private eye from the public gaze; paranoia, or sensible caution in the age of biometrics?' uses the term 'private eye' to refer to something quite literal and different from the idiomatic usage.	In this context, 'private eye' appears to refer to some aspect of the actor's eyes—literally his physical eyes—that he prefers to keep private, likely with regard to biometric data. The phrase is therefore not used here to refer to a private detective.	literal
pipe dream	An unattainable or fanciful hope or scheme.	A dream or fantasy experienced while smoking from a pipe.	In the sentence, 'I don't smoke often, but when I do I often experience some weird things in my sleep; my latest pipe dream had me sharing a hookah with the caterpillar from Alice in Wonderland.' the phrase 'pipe dream' seems to be used to describe a literal dream or fantasy experienced when the speaker smokes.	Here, 'pipe dream' refers to a specific dream or fantasy that the speaker experienced after smoking. The dream's surreal content (sharing a hookah with a caterpillar from a fantastical narrative) suggests the influence of the smoking pipe in creating this dream, which aligns with the literal definition of a dream induced by pipe smoking rather than the idiomatic meaning of an unattainable hope or scheme.	literal
piece of cake	Something that is very easy or simple to perform or achieve.	A portion of cake.	In the sentence, 'I thought the exam was going to be a piece of cake, but I was surprised by the second question.' the phrase 'piece of cake' is used to denote something easy or simple, specifically the exam.	In this context, 'piece of cake' means something that was expected to be easily and simply accomplished—in this case, doing well on the exam. Note that the speaker was mistaken in this expectation, as indicated by the their surprise at the second question. There is no allusion to an actual piece of cake, further confirming the idiomatic usage.	idiomatic
rocket science	An activity or subject that is very difficult or complex, often used in the negative to emphasize that something is really not difficult or complex.	The scientific study of rockets and their design.	In the sentence, 'Long before the development of modern rockets, Sir Isaac Newton described the principles of rocket science in three laws of motion.' the phrase 'rocket science' is used in its scientific, literal sense	In this case, 'rocket science' actually refers to the scientific principles behind the design and operation of rockets, as first described by Isaac Newton. The usage is not meant to colloquially suggest something or difficult or complex, as there is a clear reference to the scientific field of rocketry.	literal
brass ring	A desired prize or reward for which one strives.	A ring made of brass.	In the sentence, 'Too many fantasy writers have tried for the brass ring and failed miserably in the attempt.' the term 'brass ring' seems to be used idiomatically to refer to a metaphorical prize or reward that the writers sought after.	Here, 'brass ring' is used to symbolize a metaphorical reward or achievement that fantasy writers aspire to, but often fail to attain. The context does not imply a literal ring made from brass, supporting the idiomatic interpretation.	idiomatic
