target_phrase	idiomatic_meaning	literal_meaning	contextual_considerations	verbose_explanation	result
elbow grease	Hard physical work, particularly when it involves rubbing, scrubbing or a vigorous physical effort.	A lubricant or substance (imaginary or otherwise) that one might put on one's elbow.	In the sentence, 'After a long day supporting herself with her arms, she applied some elbow grease to soothe her dry, cracked skin,' the phrase 'elbow grease' is used to describe a substance applied to skin. This deviates from the idiomatic usage of the term as 'hard work'.	In this context, 'elbow grease' refers to a sort of skin cream or soothing ointment that the individual uses on her elbows after a physically hard day. The context does not point towards hard physical work, showing that the interpretation is literal.	literal
night owl	A person who normally stays up late and functions better at night, as opposed to in the morning.	An owl that is active at night.	In the sentence, 'The photographer stayed up until midnight to capture a perfect shot of the elusive night owl,' the photographer is trying to capture an image of a 'night owl'. It isn't utilized to describe a person who stays awake late, but rather a literal owl active at night.	In this context, 'night owl' refers to a literal nocturnal bird that the photographer seeks to photograph, not to an individual who stays up late.	literal
heart of gold	A kind, generous, or compassionate nature.	A heart made of gold.	In the sentence, 'Among the museum's rarest items they found a priceless heart of gold, gleaming under the soft lights,' the phrase 'heart of gold' is being used to describe a literal item that is owned by a museum.	The 'heart of gold' in this sentence is a museum piece, presumably either made of gold or painted in gold. The context does not suggest that it refers to someone's kind and compassionate nature.	literal
agony aunt	A person, typically a woman, who offers advice to people in distress, especially in a regular publication or broadcast.	An aunt who is in agony or causes agony.	In the sentence, 'The agony aunt crawls the ruins of the city with her nieces, harvesting the pain and suffering of the souls trapped there,' the term 'agony aunt' seems to be used in a way that deviates from its conventional, idiomatic usage.	In this scenario, 'agony aunt' seems to mean an aunt who is either in agony herself or causing agony to others, and it's implied that she has a strongly negative, possibly supernatural impact on her environment. This resonates more with the literal interpretation than with the idiomatic meaning of 'agony aunt'.	literal
shrinking violet	A person who is very shy and is reluctant to attract attention.	A violet flower that is becoming smaller.	In the sentence, 'In her garden, she noticed a shrinking violet that seemed to be suffering from the lack of sunlight,' the phrase 'shrinking violet' is used to describe an actual flower, not a shy person.	The 'shrinking violet' in this sentence is a violet flower in the garden that is wilting or becoming smaller due to a lack of sunlight. This is a literal use of the phrase referring to a plant, not abstractly to a timid person.	literal
green fingers	An ability to grow plants well, often attributed to a natural inherent skill or knack.	Fingers that are green in color.	In the sentence, 'The children already have green fingers as they help out with their school's vegetable plot and enthusiastically responded to questions,' the term 'green fingers' is used to describe the children's involvement and proficiency in gardening.	In this sentence, 'green fingers' signifies the children's gardening skills and their ability to grow plants successfully. This aligns with the idiomatic use as opposed to a literal interpretation of having fingers that are colored green.	idiomatic
ancient history	A situation, event or information that is past and no longer of significance or relevance.	History that pertains to the far past, especially before the fall of the Western Roman Empire in AD 476.	In the sentence, 'Lyn says that her relationship with Paul is ancient history, but Steph thinks that she should go and see him to give him a chance to apologise,' the term 'ancient history' is used to refer to a previous relationship implying it is over and not important anymore.	Here, 'ancient history' refers to Lyn's past relationship with Paul, which she considers to be over and without current relevance. This is the idiomatic usage of the phrase, meaning it's something belonging to the past and deemed inconsequential now.	idiomatic
banana republic	A small nation, especially in Central America, that is politically unstable and whose economy is dominated by foreign companies.	A republic that mainly produces or is associated with bananas.	In the sentence, 'Your fruit kingdom can become an apple empire, banana republic or strawberry theocracy, with unique development options for each,' the term 'banana republic' is used to refer to a fruit-themed kingdom, not a politically unstable nation.	In this case, 'banana republic' refers to part of a hypothetical 'fruit kingdom' that can take various forms based on different types of fruits. There's no suggestion of political instability or economic dominance by foreign companies, which implies that the phrase is used in its literal sense.	literal
devil's advocate	A person who expresses a contentious opinion in order to provoke debate or test the strength of the opposing arguments.	Advocate, or supporter, of the devil or evil.	In the sentence, 'I do advise them on ideas for content, she said, and play devil's advocate to make sure that their story ideas are solid and they have a plan for a good angle and reporting,' the term 'devil's advocate' is used to describe a role in a conversation or argument where the speaker intentionally takes an opposing or skeptical position for the sake of discussion.	Here, 'devil's advocate' is used idiomatically to mean that the speaker takes a contrary position in order to challenge and improve the clarity or robustness of the others' arguments or ideas. It doesn't imply advocating for the devil in a literal or religious sense	idiomatic
private eye	A private investigator or detective.	An eye that is personal or private.	In the sentence, 'The actor insists on wearing contacts at all times to keep his private eye from the public gaze; paranoia, or sensible caution in the age of biometrics?' the term 'private eye' is used to refer to the actor's actual eye, not a detective.	In this sentence, 'private eye' refers to the literal eye of the actor which he tries to protect by wearing contact lenses, not an investigator or detective. It's about hiding physical sight from public gaze, hence aligning with the literal usage of 'private eye'.	literal
